	corr	pval	SNP_name
0	-0.10835339125522003	4.206064678883339e-19	CCBL2
1	0.04247963665226156	0.0004779879302578961	CD209
2	-0.07425677928665404	9.88299512712635e-10	CTSS
3	0.050685658178242034	3.068545716336309e-05	CTSW
4	0.13461320269995963	1.0735791635815258e-28	DCTN5
5	0.07133668031345296	4.349041584392918e-09	DHFR
6	-0.025875014590060762	0.03342723346526326	ENTPD1
7	-0.057136205840593784	2.6064342340792484e-06	EP300
8	0.07512742803863053	6.28372251110413e-10	ERAP1
9	0.005158122311857589	0.6716190163807456	ERAP2
10	-0.02193567797259626	0.07138548111988734	FAM167A
11	0.06849775079943199	1.7388347401631387e-08	FCGR2B
12	-0.015793083612640278	0.19427097519673653	FCGR3B
13	-0.03585304718499507	0.003202949553454497	FPR1
14	-0.006516658134853204	0.592247318011957	GPLD1
15	0.06772482307165936	2.5123244805039437e-08	ITGB2
16	-0.024987204429374396	0.03998409577118423	LYZ
17	-0.043425360734388546	0.0003561225739245512	OAS1
18	0.007786905977582411	0.5221839578532415	PDCD1
19	0.08821735529972546	3.7476244871234516e-13	TREX1
20	0.05789637400341788	1.9144390800501305e-06	VAMP3
21	0.04482446058298733	0.00022799867883466777	VAMP8
22	-0.014551293943023931	0.8630522494045885	CCBL2
23	-0.06598596937685834	0.4336236576691214	CD209
24	-0.05555234205181576	0.5099033773002953	CTSS
25	-0.10466620830962994	0.2134771626173624	CTSW
26	0.21535793164235098	0.009792048954114	DCTN5
27	0.20186131316747943	0.015620366960366242	DHFR
28	-0.04474551001000841	0.5956625907750539	ENTPD1
29	-0.04610850359887447	0.5844960486963505	EP300
30	0.08695483846379762	0.3017630806455635	ERAP1
31	-0.11708480643218969	0.16372955833393213	ERAP2
32	-0.04382638352765958	0.6032465854748709	FAM167A
33	-0.025473855986774367	0.762653229399995	FCGR2B
34	-0.1781717231513211	0.03325511279177757	FCGR3B
35	0.3088449152332515	0.0001747245751986733	FPR1
36	-0.06438370629533538	0.4448952696245792	GPLD1
37	-0.08732103526701458	0.2997239926403433	ITGB2
38	0.016729160905745822	0.8428027109501709	LYZ
39	0.10831059784487536	0.1978746561549844	OAS1
40	-0.021393841093659098	0.7997916087316873	PDCD1
41	-0.014551293943023931	0.8630522494045885	CCBL2
42	-0.06598596937685834	0.4336236576691214	CD209
43	-0.05555234205181576	0.5099033773002953	CTSS
44	-0.10466620830962994	0.2134771626173624	CTSW
45	0.21535793164235098	0.009792048954114	DCTN5
46	0.20186131316747943	0.015620366960366242	DHFR
47	-0.04474551001000841	0.5956625907750539	ENTPD1
48	-0.04610850359887447	0.5844960486963505	EP300
49	0.08695483846379762	0.3017630806455635	ERAP1
50	-0.11708480643218969	0.16372955833393213	ERAP2
51	-0.04382638352765958	0.6032465854748709	FAM167A
52	-0.025473855986774367	0.762653229399995	FCGR2B
53	-0.1781717231513211	0.03325511279177757	FCGR3B
54	0.3088449152332515	0.0001747245751986733	FPR1
55	-0.06438370629533538	0.4448952696245792	GPLD1
56	-0.08732103526701458	0.2997239926403433	ITGB2
57	0.016729160905745822	0.8428027109501709	LYZ
58	0.10831059784487536	0.1978746561549844	OAS1
59	-0.021393841093659098	0.7997916087316873	PDCD1
60	-0.03944615249086439	0.639963734347352	TREX1
61	0.05592953652760106	0.5070298381899344	VAMP3
62	0.08634853623939556	0.30515918216254045	VAMP8
63	0.08976490802103422	0.22687897182955769	CCBL2
64	-0.06543516619255124	0.37882209012964	CD209
65	-0.11653205209399095	0.11618925214333027	CTSS
66	-0.15473715260045023	0.03648182645708931	CTSW
67	0.09568353462103683	0.19758174746758927	DCTN5
